timestep,reward
1,-0.7364
131,-0.1676
263,-0.1382
396,-0.1028
539,-0.099
677,-0.076
824,-0.064
968,-0.0787
1105,-0.0908
1248,-0.0808
1372,-0.0824
1503,-0.0726
1627,-0.0788
1768,-0.0492
1899,-0.0876
2036,-0.0838
2165,-0.0876
2299,-0.0849
2442,-0.0675
2570,-0.0712
2704,-0.0769
2847,-0.0522
2991,-0.0606
3130,-0.0674
3276,-0.0675
3409,-0.0554
3549,-0.0767
3693,-0.0708
3824,-0.0802
3966,-0.0725
4108,-0.0745
4248,-0.0715
4393,-0.0666
4548,-0.0683
4688,-0.0683
4835,-0.0627
4967,-0.0577
5113,-0.0667
5269,-0.0526
5416,-0.0499
5550,-0.0656
5690,-0.0462
5833,-0.0751
5980,-0.0637
6133,-0.0789
6271,-0.0757
6413,-0.0682
6559,-0.0688
6697,-0.0787
6834,-0.0671
6973,-0.0508
7112,-0.0761
7257,-0.0607
7392,-0.0671
7538,-0.0655
7684,-0.0709
7821,-0.0713
7964,-0.0718
8100,-0.0566
8243,-0.0672
8377,-0.0537
8506,-0.0477
8648,-0.0737
8794,-0.0704
8936,-0.073
9085,-0.0608
9230,-0.072
9375,-0.0804
9522,-0.065
9676,-0.0693
9814,-0.0763
9961,-0.06
10089,-0.0507
10235,-0.0706
10383,-0.0743
10525,-0.0834
10659,-0.072
10810,-0.0698
10952,-0.0811
11105,-0.0652
11245,-0.0661
11380,-0.0557
11522,-0.0752
11681,-0.081
11835,-0.0876
11993,-0.0501
12138,-0.0851
12287,-0.0864
12433,-0.0862
12594,-0.0705
12746,-0.0625
12887,-0.0688
13041,-0.0643
13188,-0.0738
13335,-0.0677
13485,-0.0586
13632,-0.0761
13783,-0.0728
13932,-0.0677
14082,-0.0749
14230,-0.0724
14369,-0.0778
14516,-0.0701
14675,-0.0682
14821,-0.0551
14962,-0.0563
15119,-0.0662
15264,-0.07
15417,-0.0716
15560,-0.0476
15709,-0.0618
15855,-0.0792
16002,-0.0655
16143,-0.0706
16300,-0.0645
16440,-0.0752
16586,-0.0657
16731,-0.0705
16893,-0.0731
17045,-0.0792
17206,-0.0722
17357,-0.0676
17513,-0.0641
17676,-0.0739
17836,-0.0653
17989,-0.0598
18147,-0.0673
18295,-0.0802
18431,-0.0661
18587,-0.0793
18737,-0.068
18895,-0.0735
19056,-0.0742
19212,-0.0639
19364,-0.0612
19514,-0.0665
19672,-0.0619
19809,-0.0817
19955,-0.0742
20120,-0.0671
20275,-0.0596
20435,-0.076
20592,-0.079
20748,-0.0619
20901,-0.0808
21053,-0.0893
21214,-0.0816
21358,-0.0662
21507,-0.0627
21668,-0.0566
21827,-0.0632
21972,-0.0706
22126,-0.0664
22279,-0.0753
22435,-0.065
22589,-0.0678
22742,-0.0511
22906,-0.091
23080,-0.0648
23229,-0.0797
23376,-0.0748
23539,-0.0619
23702,-0.0614
23860,-0.079
24025,-0.0763
24182,-0.069
24340,-0.0594
24486,-0.0487
24628,-0.0764
24783,-0.0669
24934,-0.0795
25099,-0.0677
25250,-0.0563
25396,-0.0744
25553,-0.0706
25714,-0.0733
25870,-0.0676
26023,-0.0856
26183,-0.0369
26330,-0.0703
26484,-0.0784
26630,-0.0692
26790,-0.0574
26953,-0.087
27093,-0.0683
27246,-0.0828
27403,-0.0675
27544,-0.0757
27695,-0.0686
27857,-0.0686
28015,-0.0711
28159,-0.0578
28308,-0.0558
28467,-0.0697
28621,-0.0873
28769,-0.073
28926,-0.0701
29076,-0.0847
29236,-0.0752
29386,-0.0735
29532,-0.0673
29691,-0.062
29842,-0.0677
29998,-0.0584
30154,-0.0641
30316,-0.0764
30470,-0.0675
30631,-0.0617
30779,-0.0637
30932,-0.0593
31077,-0.0757
31226,-0.0792
31385,-0.0685
31536,-0.0742
31683,-0.0673
31836,-0.0676
31988,-0.082
32157,-0.0668
32326,-0.0824
32482,-0.071
32626,-0.0563
32774,-0.0897
32938,-0.0603
33091,-0.0731
33244,-0.0557
33395,-0.0588
33540,-0.0667
33692,-0.0725
33847,-0.0708
34008,-0.0772
34157,-0.0715
34302,-0.0536
34458,-0.0719
34620,-0.0641
34789,-0.0695
34941,-0.0727
35088,-0.0755
35242,-0.0576
35399,-0.0772
35547,-0.0608
35703,-0.0737
35861,-0.0808
36013,-0.0576
36166,-0.0677
36313,-0.0679
36465,-0.0632
36621,-0.0762
36774,-0.0694
36931,-0.0577
37091,-0.049
37244,-0.088
37391,-0.0645
37540,-0.0636
37701,-0.069
37861,-0.0607
38020,-0.0636
38177,-0.0736
38322,-0.0866
38484,-0.0627
38652,-0.0744
38808,-0.0778
38966,-0.0799
39116,-0.0816
39276,-0.0636
39428,-0.0685
39572,-0.073
39735,-0.0736
39889,-0.0693
40052,-0.0799
40209,-0.0814
40360,-0.0736
40510,-0.0787
40671,-0.0556
40827,-0.0695
40988,-0.0692
41148,-0.0731
41294,-0.0679
41453,-0.0687
41607,-0.0831
41768,-0.084
41931,-0.0868
42094,-0.0718
42267,-0.0701
42430,-0.0908
42581,-0.0731
42746,-0.0618
42895,-0.0661
43046,-0.0767
43207,-0.0734
43362,-0.0757
43517,-0.0711
43681,-0.057
43832,-0.0725
43988,-0.0803
44132,-0.0774
44297,-0.0946
44456,-0.0527
44604,-0.0729
44758,-0.0711
44912,-0.0809
45063,-0.0692
45216,-0.0602
45370,-0.0717
45521,-0.0682
45678,-0.0769
45835,-0.0702
45979,-0.0525
46149,-0.0764
46305,-0.0597
46465,-0.0885
46616,-0.0661
46782,-0.0633
46940,-0.0752
47101,-0.0668
47254,-0.0505
47413,-0.075
47567,-0.0725
47732,-0.0704
