timestep,reward
86,0.308
6233,0.373
12394,0.456
18575,0.397
24798,0.417
30979,0.403
37133,0.418
43371,0.478
49683,0.438
55893,0.496
62512,0.48
68828,0.448
75257,0.395
81588,0.408
87962,0.434
94227,0.364
100504,0.353
106978,0.45
113512,0.425
119664,0.436
125783,0.372
132134,0.479
138523,0.451
144696,0.423
150941,0.303
157134,0.458
163447,0.371
169682,0.371
176089,0.348
182449,0.429
188828,0.372
195163,0.417
201352,0.302
207666,0.427
213982,0.391
220331,0.363
226649,0.346
233103,0.365
239331,0.29
245602,0.494
251997,0.471
258666,0.433
265131,0.331
271308,0.386
277521,0.485
283934,0.472
290171,0.323
296553,0.518
302831,0.472
309110,0.416
315450,0.369
321830,0.313
328282,0.316
334601,0.328
340995,0.477
347466,0.391
353818,0.328
360021,0.367
366206,0.293
372363,0.34
378851,0.254
385323,0.395
391752,0.391
398153,0.347
404649,0.442
411034,0.415
417566,0.399
423877,0.542
430314,0.455
436572,0.551
443051,0.283
449527,0.407
455969,0.465
462533,0.468
468892,0.51
475264,0.253
481689,0.417
488124,0.394
494688,0.376
501073,0.441
507734,0.243
514285,0.382
520975,0.263
527426,0.235
533990,0.298
540559,0.189
547106,0.263
553679,0.313
560131,0.288
566582,0.252
572989,0.216
579616,0.232
586018,0.298
592486,0.319
598757,0.341
605351,0.314
611849,0.233
618203,0.246
624743,0.227
631136,0.207
637615,0.157
643903,0.198
650113,0.23
656606,0.311
663183,0.42
669390,0.569
675799,0.59
682193,0.594
688739,0.621
695087,0.629
701677,0.582
707969,0.601
714302,0.599
720816,0.579
727167,0.607
733409,0.588
739849,0.564
746405,0.627
752577,0.599
759161,0.623
765633,0.62
772167,0.589
778428,0.593
784856,0.606
791340,0.586
797725,0.627
804228,0.618
810595,0.65
816968,0.665
823418,0.663
829790,0.61
835967,0.627
842441,0.625
848637,0.618
854670,0.613
861194,0.625
867654,0.653
874123,0.639
880324,0.685
886637,0.62
893114,0.681
899541,0.698
905832,0.66
912180,0.684
918480,0.639
924860,0.676
931277,0.685
937691,0.628
944034,0.674
950329,0.69
956916,0.68
963276,0.693
969572,0.699
975982,0.657
982352,0.666
988828,0.614
995341,0.669
1001583,0.628
1008018,0.684
1014404,0.646
1020940,0.652
1027224,0.661
1033364,0.65
1039752,0.71
1046257,0.652
1052569,0.678
1058871,0.659
1065352,0.702
1071732,0.648
1078286,0.681
1084698,0.668
1091063,0.677
1097371,0.686
1103885,0.653
1110357,0.644
1116681,0.667
1123186,0.655
1129574,0.678
1136026,0.646
1142189,0.7
1148616,0.642
1155038,0.668
1161180,0.683
1167390,0.697
1173774,0.725
1179973,0.676
1186474,0.704
1192823,0.65
1199405,0.723
1205919,0.664
1212352,0.706
1218856,0.721
1225127,0.671
1231439,0.669
1237640,0.583
1244067,0.641
1250311,0.664
1256686,0.681
1263277,0.7
1269618,0.684
1275851,0.68
1282130,0.665
1288743,0.65
1295392,0.636
1301922,0.705
1308398,0.674
1314846,0.655
1321187,0.671
1327759,0.656
1334087,0.714
1340533,0.673
1347146,0.693
1353407,0.659
1359910,0.688
1366320,0.693
1372976,0.672
1379634,0.636
1385938,0.671
1392051,0.688
1398506,0.656
1404827,0.661
1411257,0.649
1417698,0.671
1424118,0.677
1430720,0.616
1436996,0.695
1443426,0.683
1449607,0.657
1455933,0.657
1462371,0.684
1468755,0.68
1475142,0.647
1482116,0.656
1488363,0.664
1494791,0.7
1501409,0.645
1507802,0.678
1514208,0.683
1520678,0.646
1527094,0.647
1533474,0.612
1539751,0.663
1546322,0.647
1552756,0.638
1558989,0.646
1565500,0.602
1571988,0.666
1578199,0.648
1584872,0.691
1591186,0.643
1597749,0.647
1604262,0.666
1610644,0.632
1617143,0.644
1623634,0.659
1630167,0.647
1636883,0.578
1643500,0.651
1650079,0.611
1656606,0.638
1663060,0.649
1669639,0.64
1676071,0.672
1682622,0.658
1689237,0.637
1695618,0.618
1702094,0.653
1708542,0.649
1714970,0.659
1721285,0.644
1727818,0.621
1734403,0.637
1740756,0.646
1747264,0.631
1753873,0.629
1760243,0.6
1766473,0.618
1772975,0.62
1779391,0.621
1785896,0.641
1792188,0.62
1798677,0.608
1805087,0.608
1811547,0.562
1817798,0.6
1824163,0.596
1830552,0.624
1836740,0.611
1843243,0.629
1849765,0.648
1856156,0.61
1862484,0.603
1869193,0.655
1875964,0.634
1882616,0.621
1888959,0.601
1895485,0.642
1902054,0.652
1908345,0.601
1914712,0.599
1921331,0.606
1927705,0.674
1934386,0.651
1940984,0.637
1947319,0.586
1953769,0.635
1960514,0.638
1967254,0.611
1973610,0.598
1980462,0.616
1987118,0.62
1993563,0.609
2000072,0.643
2006694,0.556
2013171,0.586
2019817,0.616
2026222,0.584
2032687,0.579
2039157,0.584
2045635,0.622
2052302,0.617
2058884,0.62
2065268,0.595
2071958,0.596
2078430,0.638
2085115,0.6
2091841,0.599
2098312,0.601
2104678,0.629
2111206,0.606
2117538,0.65
2124187,0.578
2130858,0.61
2137302,0.619
2143933,0.582
2150575,0.575
2157013,0.634
2163391,0.59
2169621,0.606
2175911,0.604
2182268,0.655
2188863,0.603
2195247,0.616
2201650,0.593
2208229,0.597
2214754,0.614
2221281,0.59
2227905,0.562
2234234,0.571
2240691,0.585
2247181,0.59
2253559,0.61
2259799,0.563
2266126,0.561
2272766,0.62
2279102,0.593
2285341,0.577
2291725,0.589
2298155,0.591
2304574,0.602
2311138,0.62
2317517,0.594
2324356,0.572
2330771,0.615
2337140,0.59
2343559,0.61
2350195,0.6
2356629,0.601
2363025,0.617
2369520,0.608
2376105,0.573
2382570,0.593
2389025,0.592
2395421,0.578
2401844,0.615
2408092,0.562
2414729,0.568
2421306,0.57
2427457,0.603
2434007,0.588
2440423,0.59
2447049,0.557
2453438,0.578
2460082,0.609
2466546,0.616
2473031,0.614
2479591,0.587
2486029,0.616
2492409,0.599
2498751,0.57
2505069,0.591
2511772,0.624
2518302,0.639
2524750,0.619
2531277,0.623
2537814,0.596
2544507,0.574
2551083,0.596
2557495,0.59
2563862,0.582
2570124,0.6
2576694,0.581
2583069,0.617
2589402,0.603
2595915,0.597
2602394,0.581
2608965,0.608
2615199,0.594
2621481,0.589
2627994,0.587
2634649,0.596
2641036,0.593
2647510,0.597
2653986,0.596
2660423,0.604
2666935,0.6
2673306,0.596
2679820,0.615
2686344,0.563
2692664,0.594
2699010,0.606
2705644,0.587
2712079,0.601
2718457,0.588
2724989,0.607
2731392,0.577
2737965,0.6
2744197,0.61
2750691,0.625
2757209,0.615
2763667,0.59
2769975,0.582
2776359,0.605
2782889,0.606
2789315,0.587
2795760,0.595
2802069,0.594
2808493,0.596
2815001,0.604
2821403,0.599
2827790,0.622
2834174,0.597
2840691,0.601
2847047,0.609
2853183,0.593
2859782,0.594
2866289,0.586
2872597,0.587
2879077,0.598
2885698,0.609
2892138,0.597
2898568,0.571
2905157,0.589
2911477,0.568
2918135,0.622
2924607,0.566
2930971,0.608
2937428,0.602
2944025,0.593
2950427,0.59
2956946,0.584
2963406,0.576
2969648,0.598
2976112,0.607
2982512,0.58
2988979,0.55
2995364,0.599
3001687,0.547
3008283,0.57
3014818,0.586
3021361,0.565
3027845,0.601
3034606,0.585
3041055,0.587
3047655,0.567
3053892,0.58
3060356,0.576
3066771,0.561
3073134,0.588
3079391,0.593
3085855,0.593
3092287,0.566
3098635,0.562
3105122,0.601
3111740,0.566
3118095,0.582
3124646,0.557
3131091,0.57
3137669,0.561
3144263,0.566
3150449,0.596
3156815,0.593
3163157,0.569
3169873,0.571
3176239,0.588
3182546,0.582
3189035,0.57
3195538,0.574
3202026,0.572
3208449,0.563
3214953,0.568
3221639,0.534
3228103,0.542
3234627,0.551
3241115,0.564
3247645,0.531
3254100,0.563
3260631,0.569
