timestep,reward
3,0.1428
266,0.17385
553,0.17165
822,0.14025
1043,0.18445
1294,0.1426
1560,0.1606
1802,0.1769
2086,-0.03575
2329,0.21115
2634,0.53005
2903,0.83635
3176,1.01865
3430,1.1365
3699,1.23485
3971,1.2695
4253,1.21015
4537,1.0778
4822,1.08955
5094,1.11625
5385,1.1434
5665,1.1804
5898,1.18625
6151,1.1931
6414,1.2608
6695,1.2366
6952,1.2388
7201,1.24795
7485,1.23385
7748,1.2474
8047,1.25225
8315,1.3299
8590,1.282
8872,1.25665
9177,1.21495
9432,1.24025
9733,1.1757
10009,1.22735
10290,1.23245
10593,1.22345
10908,1.2261
11202,1.24675
11492,1.2333
11788,1.2751
12066,1.26935
12358,1.21565
12634,1.20655
12903,1.19755
13202,1.1921
13471,1.2396
13767,1.2759
14089,1.24955
14369,1.23905
14676,1.2598
14972,1.27225
15243,1.27725
15528,1.2823
15821,1.21865
16100,1.31225
16398,1.25215
16690,1.2019
17012,1.2267
17294,1.1818
17590,1.2319
17875,1.18845
18206,1.1005
18505,1.18765
18813,1.11395
19125,1.23735
19443,1.1902
19771,1.22295
20037,1.20825
20323,1.24465
20649,1.233
20968,1.1376
21256,1.0984
21572,1.0862
21889,1.1511
22185,1.1732
22529,1.13295
22833,1.02045
23169,1.18735
23492,1.18055
23782,1.20355
24083,1.18905
24384,1.0998
24736,1.1608
25047,1.11765
25357,1.0821
25712,1.08235
26025,1.103
26329,1.10565
26649,1.11425
26962,1.04075
27274,1.25135
27592,1.1413
27912,1.20105
28214,1.13315
28538,1.2034
28859,1.09365
29193,1.15195
29521,1.19955
29831,1.15995
30147,1.2322
30478,1.25645
30815,1.10995
31105,1.1076
31427,1.1103
31747,1.11525
32094,1.17895
32426,1.3118
32759,1.11515
33096,1.22665
33407,1.12825
33763,1.16215
34107,1.12305
34431,1.1221
34756,1.15205
35089,1.24615
35415,1.2506
35753,1.23045
36102,1.3076
36441,1.2168
36775,1.28225
37131,1.2045
37489,1.17075
37819,1.29645
38175,1.0929
38532,1.1521
38894,1.2398
39226,1.1827
39558,1.2708
39886,1.2158
40237,1.26155
40605,1.33145
40949,1.2035
41278,1.18475
41619,1.21245
41927,1.25745
42284,1.2792
42645,1.19235
43001,1.22145
43377,1.1172
43735,1.1266
44070,1.20615
44433,1.3894
44771,1.2208
45131,1.17275
45456,1.1678
45837,1.20635
46193,1.29245
46532,1.1888
46894,1.27525
47231,1.2037
47588,1.2694
47888,1.2263
48233,1.35145
48555,1.19415
48896,1.34785
49206,1.16435
49544,1.2167
49907,1.3248
50267,1.324
50619,1.31265
50969,1.3019
51331,1.3826
51700,1.18765
52059,1.2763
52388,1.30595
52745,1.24225
53101,1.16785
53451,1.27655
53816,1.2636
54169,1.2053
54514,1.17575
54847,1.13605
55180,1.3207
55520,1.14725
55861,1.2149
56230,1.2132
56548,1.2169
56883,1.16805
57219,1.1301
57562,1.2663
57918,1.28425
58306,1.17375
58657,1.1616
59019,1.22895
59367,1.28435
59717,1.1808
60044,1.25125
60379,1.20545
60745,1.2614
61067,1.2089
61427,1.3057
61789,1.23275
62126,1.1443
62471,1.1899
62856,1.17435
63203,1.13055
63546,1.2576
63930,1.2697
64277,1.22125
64630,1.2644
64985,1.188
65296,1.1939
65645,1.22175
66030,1.2065
66388,1.26495
66690,1.26205
67029,1.2587
67390,1.156
67740,1.13995
68072,1.04225
68441,1.20285
68812,1.24665
69168,1.33315
69507,1.2076
69847,1.20355
70206,1.21605
70548,1.26455
70923,1.2395
71275,1.1707
71663,1.08695
71994,1.2879
72406,1.24095
72730,1.3022
73073,1.0935
73446,1.06835
73761,1.10145
74128,1.22045
74470,1.0906
74803,1.20605
75150,1.1413
75488,1.1928
75807,1.18845
76163,1.14235
76514,1.33605
76862,1.22585
77209,1.19355
77524,1.24755
77866,1.2273
78218,1.2113
78582,1.2022
78929,1.13515
79264,1.2065
79592,1.1999
79930,1.1828
80293,1.2195
80681,1.16025
81008,1.19095
81355,1.24085
81690,1.2486
82040,1.24535
82379,1.20965
82755,1.26745
83120,1.23625
83484,1.2281
83841,1.1589
84167,1.24575
84487,1.16695
84790,1.0711
85135,1.2156
85483,1.20905
85836,1.20795
86182,1.2139
86539,1.12755
86885,1.22805
87242,1.26175
87590,1.2126
87968,1.1908
88322,1.2278
88668,1.32985
89012,1.31375
89371,1.26005
89683,1.23165
90047,1.31455
90391,1.16635
90733,1.28145
91079,1.20735
91461,1.2011
91808,1.18945
92167,1.1803
92514,1.04125
92856,1.26705
93193,1.29175
93573,1.23885
93919,1.2925
94267,1.2251
94630,1.17855
94970,1.22255
95327,1.2827
95658,1.20205
96005,1.1833
96346,1.142
96710,1.27355
97045,1.27825
97370,1.3217
97690,1.2372
98047,1.2374
98394,1.2887
98720,1.2787
99095,1.37875
99431,1.27515
99780,1.32075
100119,1.2683
100488,1.36065
100845,1.27885
101181,1.4026
101548,1.3442
101920,1.37775
102300,1.3097
102654,1.2151
103013,1.27205
103368,1.26165
103701,1.26015
104046,1.2689
104379,1.22635
104706,1.34315
105059,1.3133
105401,1.403
105739,1.37305
106097,1.27835
106449,1.23795
106802,1.22425
107161,1.3113
107522,1.36145
107877,1.3573
108260,1.2448
108597,1.2338
108982,1.25515
109321,1.34275
109645,1.301
110002,1.2275
110344,1.31515
110657,1.287
110990,1.31425
111335,1.3882
111667,1.3558
112028,1.2746
112367,1.21365
112715,1.2889
113042,1.25785
113378,1.31895
113735,1.2676
114081,1.33675
114423,1.2968
114757,1.3454
115098,1.315
115462,1.339
115820,1.29085
116171,1.24625
116495,1.3097
116849,1.25225
117164,1.31245
117487,1.3068
117853,1.2918
118192,1.2656
118523,1.27195
118892,1.337
119226,1.29295
119538,1.2646
119857,1.2647
