timestep,reward
3,-0.1015
321,-0.209
656,-0.165
954,-0.077
1234,-0.145
1576,-0.208
1837,-0.0695
2137,0.1055
2424,0.9065
2718,1.6765
3037,1.621
3360,1.881
3660,2.0385
3953,1.7715
4235,1.844
4530,1.981
4830,2.0645
5159,1.9875
5499,1.8295
5805,1.975
6097,1.8625
6406,2.026
6697,2.178
7071,2.014
7414,2.093
7708,2.1115
8055,2.337
8403,2.1555
8719,2.086
9004,2.0595
9348,2.058
9691,2.033
10053,2.116
10360,2.229
10695,2.169
11024,2.32
11353,2.165
11694,1.916
11995,2.286
12310,2.179
12629,2.2175
12964,2.197
13307,2.216
13640,2.052
13962,2.2285
14325,2.4515
14679,2.2105
15034,2.2815
15349,2.2385
15663,2.06
15988,1.9885
16319,2.3185
16657,2.2865
16994,2.42
17310,2.112
17653,2.1525
18057,2.0265
18403,2.0855
18774,2.0775
19155,2.143
19502,2.3385
19853,2.294
20236,2.118
20590,2.272
20989,2.1935
21312,2.2085
21626,2.1625
21929,2.0445
22273,2.246
22609,2.2925
22985,2.0815
23360,2.316
23692,2.3495
24067,2.1665
24371,2.1695
24705,2.137
25073,2.148
25493,2.248
25859,2.0115
26193,2.2865
26567,2.347
26943,2.192
27317,1.8835
27687,2.131
28042,2.153
28421,2.162
28827,2.342
29210,2.208
29579,2.154
29963,2.047
30407,2.1795
30804,2.0385
31210,2.019
31553,2.135
31915,2.1265
32320,2.2045
32689,2.204
33027,2.134
33444,2.0055
33829,2.055
34258,1.773
34644,2.1895
35050,1.877
35434,2.2115
35789,2.094
36238,2.0585
36641,2.2815
37000,2.0945
37381,2.048
37752,1.9535
38134,1.8545
38532,1.927
38909,2.19
39281,1.9485
39685,2.1505
39972,2.1625
40348,2.203
40742,2.321
41170,2.023
41578,2.4035
41941,1.901
42362,1.9005
42771,2.1265
43126,2.114
43538,2.067
43946,2.0755
44350,2.0025
44766,2.0845
45128,2.1995
45533,2.0355
45909,2.0285
46298,2.261
46674,2.241
47068,2.2365
47471,1.951
47869,2.042
48285,2.2325
48641,2.2685
49078,2.319
49476,2.1715
49835,2.127
50195,2.3015
50555,1.992
50983,2.154
51362,2.2605
51735,2.0805
52117,1.9905
52522,2.019
52948,2.04
53338,2.298
53715,1.9375
54075,2.1115
54451,2.2265
54894,2.0855
55288,2.184
55669,2.2095
56013,2.1765
56367,1.9585
56779,1.996
57153,2.141
57513,2.1455
57879,2.0195
58263,2.268
58675,2.0015
59091,1.979
59515,2.099
59896,2.1985
60315,2.106
60702,1.905
61123,2.0915
61513,2.165
61890,2.108
62310,2.308
62727,2.439
63110,2.126
63501,2.1895
63871,1.8065
64241,2.0755
64605,2.025
65014,1.8265
65426,1.9645
65810,2.1125
66182,1.996
66594,2.108
67005,2.0645
67437,2.1285
67820,2.071
68164,2.1775
68552,2.1845
68900,2.19
69288,2.137
69646,2.211
70000,2.348
70366,2.1625
70698,2.1915
71036,2.0765
71434,2.237
71808,2.033
72194,2.1025
72547,2.175
72923,2.3235
73305,2.091
73689,2.0685
74093,2.1155
74440,2.193
74869,2.124
75254,2.039
75580,2.3605
75971,2.292
76317,2.2515
76724,2.2105
77120,2.1265
77444,2.215
77859,2.2075
78212,1.838
78599,2.4385
78943,2.3335
79309,2.364
79741,2.3595
80085,2.064
80412,2.0565
80768,2.413
81122,2.347
81470,2.313
81848,2.3435
82235,2.0505
82622,2.338
82993,2.365
83345,2.271
83795,2.2945
84174,2.2495
84561,2.2435
84879,2.015
85284,2.275
85701,2.3495
86131,2.2245
86529,2.1665
86879,2.2325
87274,2.2925
87702,1.9355
88064,2.017
88448,2.2015
88814,2.1815
89210,2.219
89575,2.0505
89962,2.149
90353,2.119
90744,2.175
91068,2.396
91449,2.2125
91858,2.1305
92245,2.213
92664,2.2125
93073,2.284
93434,1.969
93774,2.169
94150,2.1275
94507,2.181
94881,2.189
95286,2.094
95700,2.217
96036,2.1725
96409,2.211
96853,2.4515
97218,2.134
97585,2.216
97996,2.14
98343,2.355
98730,2.334
99116,2.358
99449,2.3195
99848,2.331
100264,2.2115
100681,2.103
101089,2.253
101475,2.2555
101847,2.2865
102214,2.141
102615,2.399
103044,2.245
103493,2.193
103940,2.1205
104343,2.3405
104755,2.275
105194,2.0815
105588,2.368
105985,2.2105
106363,2.092
106741,2.49
107166,2.121
107573,2.278
107944,2.4295
108322,2.171
108737,2.3315
109131,2.2395
109526,2.052
109954,2.3545
110346,2.3375
110754,2.0405
111099,2.0565
111448,2.19
111895,2.224
112300,2.2455
112706,2.424
113132,2.1265
113516,2.276
113909,2.213
114297,2.238
114713,2.2105
115108,2.3905
115522,2.118
115890,2.238
116219,2.09
116643,2.1395
117057,2.235
117443,2.2605
117829,2.14
118263,2.0515
118636,2.227
119061,2.0515
119437,2.291
119799,2.23
120187,2.013
120589,2.1405
120990,2.227
121359,2.188
121809,2.059
122204,2.1505
122560,2.228
122972,2.365
123350,2.2525
123776,2.3975
124212,2.074
124617,2.299
125001,2.2075
125386,2.1335
125834,2.171
126290,2.059
126703,2.101
127114,2.257
127551,2.113
127999,2.0145
128391,2.3155
128827,2.307
129248,2.1985
129677,2.0095
130088,2.3015
130474,2.09
130874,2.0475
131268,1.954
131654,2.163
132055,2.1085
132495,2.136
132910,2.1525
133292,2.222
133712,2.1475
134109,2.2195
134524,1.8835
134963,1.897
135429,2.1615
135854,2.3035
136246,1.9275
136645,2.1425
137022,2.1285
137419,2.024
137789,2.289
138233,2.2065
138621,1.941
139006,2.1185
139429,2.1265
139894,2.1345
140324,1.9985
140797,2.361
141203,2.1615
141610,2.214
141977,2.2505
142431,2.1255
142850,2.0495
143229,2.332
143629,2.1185
144084,2.0615
144469,2.148
144882,2.1495
145272,2.093
145706,2.2315
146047,2.021
146487,2.0545
146840,1.969
147262,2.231
147710,2.009
148093,2.155
148494,2.021
148897,2.1425
149313,2.0915
149741,2.039
150097,2.064
150507,2.2495
150870,2.1565
151307,1.8595
151726,2.141
152132,2.18
152521,2.199
152926,1.9915
153287,1.896
153673,1.944
154091,1.888
154456,2.1475
154858,2.2415
155240,2.1765
155666,2.0725
156033,2.0385
156413,1.99
156792,2.046
157204,1.9765
157620,2.148
158029,2.1105
158386,2.1755
158787,2.163
159202,2.188
159572,2.0935
160020,1.9095
160363,2.241
160752,2.2525
161126,2.1915
