timestep,reward
1,3.758
273,-0.2
546,-0.643
836,-1.132
1111,-0.228
1384,3.063
1669,3.608
1923,-3.47
2180,1.61
2436,2.887
2700,3.995
2962,0.951
3223,-0.057
3491,2.085
3755,1.042
4015,-0.366
4260,-0.248
4552,1.774
4806,2.995
5071,2.385
5361,1.588
5658,1.124
5910,4.539
6168,5.231
6445,4.328
6701,1.577
6987,4.263
7280,3.135
7549,4.858
7812,1.204
8079,4.195
8352,4.468
8615,4.626
8852,3.014
9109,5.034
9362,-0.3
9700,4.875
9966,2.118
10228,2.938
10526,3.126
10796,6.136
11105,3.422
11370,2.197
11651,1.136
11936,2.485
12196,3.575
12507,2.147
12774,5.381
13026,4.513
13300,5.386
13548,3.301
13864,0.931
14142,5.34
14401,2.778
14695,3.642
14978,2.783
15248,4.02
15556,3.316
15837,4.446
16121,3.377
16373,8.329
16669,5.566
16955,3.782
17205,5.357
17513,7.409
17819,3.484
18130,5.076
18394,6.756
18683,4.219
18960,5.527
19255,5.345
19529,4.015
19819,4.37
20093,6.73
20363,1.553
20630,2.452
20934,6.592
21228,6.949
21491,5.869
21775,8.615
22041,5.063
22343,5.915
22639,2.881
22921,8.48
23224,4.688
23500,3.971
23781,2.828
24065,7.645
24342,3.107
24634,6.988
24941,4.393
25220,4.986
25535,7.452
25860,5.862
26126,6.769
26441,6.87
26742,2.842
27045,4.231
27331,5.774
27633,5.295
27926,4.22
28220,3.264
28540,4.21
28816,7.999
29134,5.833
29383,3.289
29672,5.04
29975,4.552
30267,6.699
30558,6.672
30855,3.486
31126,6.401
31424,4.236
31713,4.906
31995,2.863
32313,7.283
32591,1.155
32881,8.331
33149,6.753
33426,3.111
33718,4.418
34011,3.725
34338,4.107
34654,3.396
34970,7.877
35260,5.129
35527,5.416
35824,5.82
36121,4.797
36442,3.426
36769,5.161
37065,1.431
37362,3.716
37632,4.172
37927,7.891
38261,5.092
38561,4.357
38818,3.144
39098,5.21
39411,5.33
39685,6.588
39986,5.271
40255,3.923
40553,6.609
40841,7.574
41146,7.231
41473,1.645
41781,6.077
42108,7.074
42408,5.486
42715,2.748
43057,2.462
43352,5.658
43644,5.565
43962,5.072
44276,4.95
44590,7.145
44902,1.791
45198,1.875
45513,0.862
45808,5.286
46108,4.986
46404,6.048
46744,10.885
47070,7.502
47373,6.443
47681,3.122
47985,7.713
48295,3.96
48591,3.355
48910,9.186
49171,7.217
49465,1.404
49753,4.559
50064,3.941
50352,7.363
50661,3.639
50918,4.089
51268,4.864
51555,8.472
51814,3.053
52108,6.657
52414,6.302
52744,6.276
53066,5.49
53372,6.941
53647,6.095
53947,6.695
54314,6.497
54662,5.306
54988,5.143
55290,3.381
55590,6.359
55912,6.969
56220,6.46
56532,5.7
56831,6.923
57178,4.596
57496,3.975
57811,9.264
58105,7.705
58422,5.444
58713,5.283
58992,5.428
59296,8.014
59623,4.379
59951,6.879
60249,6.816
60536,5.518
60865,8.041
61206,5.262
61542,0.917
61898,4.766
62207,4.833
62524,5.095
62846,3.258
63170,4.936
63453,5.509
63806,8.773
64096,6.329
64406,6.017
64703,5.584
65010,7.675
65328,4.03
65669,5.395
65995,5.177
66300,1.351
66637,7.854
66955,8.915
67266,4.34
67587,7.068
67922,7.399
68216,8.053
68544,5.431
68856,4.851
69144,7.301
69475,7.474
69786,3.563
70111,4.22
70410,2.383
70711,3.487
71008,6.642
71334,4.648
71659,5.635
71993,6.489
72317,5.354
72639,3.035
72953,4.968
73247,3.04
73572,7.136
73881,8.218
74168,5.335
74437,6.41
74781,6.406
75138,6.049
75426,5.924
75761,4.617
76064,2.779
76363,6.55
76673,6.641
76980,4.448
77341,5.108
77664,4.456
77983,7.266
78302,2.767
78639,6.003
78951,6.341
79254,6.174
79579,6.501
79875,2.204
80183,7.259
80485,4.564
80802,7.841
81106,3.095
81453,6.533
81768,9.611
82045,6.915
82334,7.861
82636,7.317
82987,5.441
83320,3.474
83632,5.269
83929,4.586
84215,7.32
84543,5.541
84883,5.476
85169,5.447
85472,6.17
85801,3.435
86124,5.759
86456,6.747
86763,5.585
87110,3.496
87440,7.238
87757,5.429
88072,6.305
88409,3.601
88723,3.415
89026,9.032
89375,5.39
89657,5.258
89981,5.883
90347,3.143
90676,8.238
90985,4.533
91314,5.365
91612,6.374
91901,6.775
92235,7.087
92514,4.365
92805,4.383
93125,7.958
93457,9.832
93737,7.245
94080,8.631
94347,6.312
94683,3.216
94994,5.214
95331,3.978
95648,5.251
95961,8.169
96277,2.651
96582,6.054
96879,5.933
97174,7.56
97495,4.126
97790,6.142
98120,3.952
98382,5.106
98668,4.329
98991,4.718
99292,5.785
99578,4.057
99876,3.599
100207,3.788
100542,5.37
100824,5.567
101163,7.326
101468,4.198
101792,8.422
102101,4.973
102418,5.947
102674,6.424
103002,5.28
103325,6.647
103618,7.628
103888,3.883
104235,6.105
104557,6.608
104848,6.23
105165,5.546
105447,7.3
105741,4.908
106047,6.692
106305,2.602
106606,7.143
106937,5.001
107273,8.918
107613,8.277
107945,5.743
108227,2.572
108521,4.898
108804,5.573
109088,3.848
109369,5.274
109626,5.71
109928,7.02
110249,7.622
110580,4.343
110891,3.569
111233,5.399
111528,3.05
111839,7.516
112133,5.551
112459,6.768
112744,6.346
113085,5.063
113426,4.714
113771,4.539
114061,5.165
114398,7.718
114691,8.965
115000,3.129
115304,6.451
115596,2.973
115889,9.329
116187,4.925
116511,5.133
116821,6.666
117111,6.148
117414,5.366
117751,5.082
118039,6.936
118346,6.883
118685,6.453
118945,4.41
119237,5.426
119521,4.533
119839,5.286
120149,8.221
120433,6.961
120734,5.924
