timestep,reward
49,0.018
4406,0.066
8782,-0.046
13647,-0.006
18271,0.022
22680,0.038
27834,-0.07
32926,0.006
37975,0.062
42415,-0.002
47395,-0.034
52405,-0.018
57454,0.056
62136,0.026
67146,0.03
71361,0.03
75935,0.006
80588,0.05
85611,0.038
90137,0.032
95197,-0.032
99492,-0.004
104220,-0.01
108759,0.014
113720,0.04
118403,-0.024
122795,0.032
127507,0.004
131913,0.01
136124,0.03
141328,0.054
145605,0.09
150386,-0.022
155231,0.008
159615,0.01
164096,-0.012
168790,0.008
172824,-0.002
177642,0.062
182526,-0.004
187214,-0.044
191561,0.016
196536,0.062
201201,0.086
205350,0.096
209983,0.06
214164,-0.006
218372,0.038
223190,0.006
227498,-0.002
231847,0.004
236666,-0.004
241410,0.022
246071,0.088
250699,-0.024
254697,0.0
258665,0.052
263543,0.006
268351,0.056
273253,0.018
278446,0.01
282938,0.058
287371,0.008
292713,0.074
297071,0.058
301834,-0.012
306284,0.024
310949,0.048
315133,0.024
320156,0.03
325024,0.056
330137,0.042
335108,-0.014
339745,0.0
344263,0.036
348750,0.084
353736,0.054
358403,0.046
362587,0.024
367626,0.02
371753,0.002
376227,0.02
380710,0.012
385593,0.004
389689,0.056
394665,0.044
399042,0.07
403769,0.068
408478,0.016
413177,0.064
418238,0.066
422583,0.022
427000,0.058
431814,0.054
436512,0.014
440776,0.03
445366,0.072
450303,-0.014
455312,0.01
460347,0.03
465340,0.034
470291,0.026
474630,0.028
479177,0.044
484060,0.066
489174,0.02
493818,0.014
499002,0.064
503817,0.052
507930,0.024
512636,0.018
517163,0.046
521571,0.054
526350,0.044
531306,0.076
536445,0.094
540754,0.032
545205,0.086
549959,0.058
555158,0.11
559429,0.028
563711,-0.064
568517,-0.002
573584,0.026
578851,-0.038
583262,0.018
587602,-0.048
592106,0.004
596890,-0.022
601144,0.024
605463,-0.044
610483,0.032
614797,0.012
619301,-0.012
623902,-0.024
628561,-0.028
633082,-0.05
637576,0.07
641689,-0.042
646858,-0.092
651578,-0.002
656308,0.004
661306,-0.028
665563,0.052
671090,-0.022
675941,-0.024
680218,-0.006
685043,-0.012
689982,-0.044
695570,-0.066
700314,-0.036
704849,0.008
709462,-0.042
714419,-0.076
718923,-0.01
723935,-0.016
728802,-0.018
734283,0.012
739320,-0.036
744448,0.0
748832,-0.056
753710,0.01
759013,-0.018
763420,0.03
768180,-0.048
772458,-0.068
777621,-0.082
783304,-0.002
787845,-0.036
792263,0.006
796446,-0.016
800784,-0.044
805265,-0.036
810120,-0.082
814407,0.032
818884,-0.042
823570,-0.032
828798,0.006
833496,-0.032
838266,0.002
842578,0.0
847387,-0.012
851811,-0.04
856472,-0.046
861025,-0.07
865668,0.016
870147,-0.024
875171,-0.016
879900,-0.012
884749,-0.024
889286,-0.024
893711,0.028
898529,-0.026
902797,0.022
907572,0.002
912695,-0.004
917337,0.024
922521,0.022
927179,-0.044
932137,-0.03
936695,-0.02
941779,0.02
946435,-0.006
951478,-0.024
955605,-0.002
960124,0.05
964819,0.002
969472,-0.008
974264,0.012
978695,-0.032
983382,-0.032
987907,0.004
992893,-0.024
997766,0.008
1002378,-0.01
1006857,0.032
1012063,-0.08
1016820,-0.01
1021328,0.026
1025306,-0.054
1030593,-0.022
1035189,-0.05
1040532,0.006
1045371,0.008
1050155,-0.014
1054385,0.018
1058707,-0.03
1063515,0.044
1067973,-0.012
1071872,-0.064
1076395,-0.048
1080462,-0.068
1085302,-0.012
1090022,0.01
1095103,-0.08
1099707,0.012
1104374,0.008
1108885,0.004
1113789,-0.058
1118115,0.022
1122801,0.002
1127704,-0.024
1132483,0.004
1136995,-0.012
1142026,-0.038
1146433,-0.056
1150417,-0.026
1154973,0.004
1159481,-0.04
1163679,-0.036
1167873,-0.014
1172491,-0.012
1177090,-0.034
1181769,-0.054
1186339,-0.02
1191150,-0.116
1196187,-0.034
1200862,-0.056
1205136,-0.002
1209448,-0.016
1214130,0.004
1219078,-0.052
1224098,-0.048
1228427,0.05
1233345,-0.048
1238216,-0.05
1243106,-0.026
1248025,0.034
1252591,-0.008
1257393,-0.082
1261842,-0.022
1266492,-0.028
1271370,-0.01
1276424,-0.052
1281382,0.006
1286135,0.016
1290903,-0.004
1295701,-0.052
1300162,-0.076
1305130,-0.036
1309735,-0.028
1314223,0.036
1318358,-0.018
1323507,-0.008
1328640,-0.056
1333095,-0.02
1337513,0.012
1341802,-0.056
1346484,-0.058
1351530,0.03
1356335,-0.042
1361022,0.018
1365733,-0.006
1370406,0.016
1374820,-0.062
1378994,-0.004
1383191,-0.046
1388404,-0.082
1393070,-0.028
1398153,-0.014
1402823,-0.046
1407643,-0.016
1412338,-0.01
1416778,-0.01
1421401,-0.026
1426182,-0.004
1430187,0.0
1434348,0.0
1439270,0.0
1443905,-0.052
1448757,-0.052
1453886,-0.054
1458695,0.006
1462964,-0.044
1467394,-0.05
1472159,0.04
1476927,-0.03
1480993,-0.018
1485690,-0.012
1490098,-0.034
1494264,0.024
1499375,-0.038
1503136,-0.064
1507460,-0.098
1512350,-0.102
1517111,-0.008
1521841,-0.004
1526216,0.01
1530513,0.006
1535743,-0.006
1540349,-0.032
1545013,-0.02
